id,gender,seniorCitizen,partner,dependents,tenure,phoneService,multipleLines,internetService,onlineSecurity,onlineBackup,deviceProtection,techSupport,streamingTV,streamingMovies,contract,paperlessBilling,paymentMethod,monthlyCharges,totalCharges,churn,date
2598,Male,False,True,False,71,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,True,Electronic check,109.6,7854.15,False,2024-07-05
2599,Female,False,False,False,7,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,75.15,525.0,False,2025-01-21
2600,Female,False,False,False,72,True,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,True,Credit card (automatic),73.0,5265.2,False,2025-02-19
2601,Female,False,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,70.1,70.1,False,2024-12-13
2602,Female,False,True,True,72,True,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,True,Bank transfer (automatic),98.65,7129.45,False,2025-04-18
2603,Female,False,True,True,64,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,111.45,7266.95,False,2024-10-23
2604,Female,False,False,False,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,114.9,8496.7,False,2025-01-28
2605,Female,False,False,False,29,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,False,Bank transfer (automatic),100.55,2878.75,False,2024-07-08
2606,Female,False,False,False,13,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,20.4,261.3,False,2024-10-03
2607,Female,False,False,False,31,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,False,Electronic check,104.35,3205.6,False,2025-03-09
2608,Male,True,False,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.75,69.75,True,2024-07-25
2609,Male,False,True,True,7,False,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,True,Electronic check,34.5,279.25,True,2025-01-07
2610,Male,False,True,False,61,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,105.55,6281.45,True,2025-02-06
2611,Female,False,False,True,39,False,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,False,Credit card (automatic),30.1,1131.3,True,2024-05-18
2612,Male,False,True,False,10,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.3,738.2,True,2024-10-19
2613,Female,False,True,True,14,True,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,False,Credit card (automatic),80.45,1137.05,False,2024-09-16
2614,Female,False,False,False,1,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Mailed check,80.2,80.2,True,2025-03-07
2615,Female,False,True,True,67,True,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,True,Credit card (automatic),94.35,6341.45,True,2025-01-16
2616,Female,False,False,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),91.35,6697.2,False,2025-02-07
2617,Male,False,True,True,6,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),44.6,260.8,True,2024-11-29
2618,Female,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,19.6,19.6,True,2025-04-14
2619,Male,False,True,True,25,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,19.9,505.45,False,2024-08-22
2620,Female,True,False,False,33,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,110.45,3655.45,True,2024-07-01
2621,Male,False,False,False,18,True,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,True,Electronic check,68.35,1299.8,False,2025-01-13
2622,Male,False,True,False,71,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),79.1,5564.85,False,2024-06-20
2623,Male,True,True,True,28,True,Yes,DSL,No,No,No,No,No,No,One year,True,Electronic check,51.0,1381.8,False,2024-09-08
2624,Female,False,False,True,2,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,False,Credit card (automatic),80.55,188.1,False,2024-10-07
2625,Male,False,True,True,17,True,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,True,Mailed check,66.7,1077.05,False,2024-08-31
2626,Male,False,False,False,56,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,True,Electronic check,86.4,4922.4,False,2024-05-31
2627,Female,False,True,False,60,False,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,False,Electronic check,50.05,2911.5,False,2025-01-31
2628,Female,False,False,False,33,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.7,826.1,False,2024-06-14
2629,Female,False,False,False,1,True,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,True,Mailed check,83.4,83.4,False,2024-05-20
2630,Male,False,False,False,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Credit card (automatic),70.7,140.7,True,2024-11-30
2631,Male,False,True,False,63,True,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,True,Credit card (automatic),84.65,5377.8,False,2024-07-07
2632,Male,True,True,False,7,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,99.25,665.45,True,2024-05-26
2633,Female,False,False,False,55,True,No,DSL,No,Yes,Yes,No,No,Yes,Two year,True,Mailed check,64.75,3617.1,False,2024-11-08
2634,Female,False,True,False,65,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,True,Bank transfer (automatic),100.15,6643.5,False,2025-04-28
2635,Male,False,True,False,1,True,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,True,Electronic check,84.8,84.8,True,2024-07-04
2636,Male,False,False,False,63,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,25.25,1559.3,False,2025-04-28
2637,Female,True,True,False,70,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),113.0,7987.6,False,2025-01-11
2638,Female,False,True,True,36,False,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,False,Credit card (automatic),40.65,1547.35,False,2024-06-22
2639,Male,False,False,False,52,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Bank transfer (automatic),105.0,5426.85,True,2025-01-19
2640,Male,False,False,False,22,True,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,54.45,1127.35,True,2025-03-21
2641,Male,False,False,False,22,True,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,True,Bank transfer (automatic),94.95,2142.8,False,2025-02-04
2642,Female,True,False,False,5,True,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,False,Credit card (automatic),59.9,287.85,False,2025-05-02
2643,Female,False,True,False,47,True,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,85.3,4045.65,True,2025-03-08
2644,Female,False,False,False,33,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,83.35,2757.85,True,2024-06-23
2645,Male,False,False,False,18,False,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,True,Credit card (automatic),33.5,600.0,True,2024-09-21
2646,Female,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Credit card (automatic),19.8,19.8,False,2025-02-15
2647,Male,False,False,False,56,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),81.8,4534.45,False,2025-01-11
2648,Female,False,False,False,2,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,20.0,40.9,False,2024-08-21
2649,Male,False,False,False,35,True,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,True,Electronic check,59.6,2094.9,False,2024-12-27
2650,Female,False,True,False,64,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.0,1584.8,False,2024-09-18
2651,Female,False,False,False,15,True,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,True,Credit card (automatic),84.35,1302.65,False,2024-05-16
2652,Male,False,False,False,24,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,90.35,2238.5,True,2024-05-16
2653,Male,False,False,False,1,True,No,DSL,No,No,No,No,No,Yes,Month-to-month,False,Mailed check,55.55,55.55,False,2025-04-21
2654,Female,False,True,True,70,True,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,False,Credit card (automatic),75.35,5437.75,False,2024-10-07
